uid,uid
9026,4847
9026,3477
9026,4547
9026,5584
9026,4311
9026,5172
9026,6016
9026,5346
9026,4629
9026,5893
9026,4084
9026,5342
9026,5973
9026,5953
9026,4085
9026,5354
9026,5781
9026,4883
9026,5867
9026,5292
9026,3549
9026,5784
9026,6048
9026,5131
9026,3457
9026,5874
9026,3920
9026,3639
9026,5699
9026,3650
9026,4503
9026,4888
9026,4035
9026,5326
9026,5277
9026,6079
9026,5457
9026,4445
9026,4125
9026,4795
9026,4578
9026,4796
9026,5752
9026,4172
9026,4563
9026,4139
9026,4636
9026,3565
9026,5526
9026,4923
9026,3948
9026,5949
9026,3396
9026,3354
9026,5853
9026,6081
9026,3695
9026,5768
9026,5210
9026,3490
9026,3856
9026,4718
9026,3951
9026,5863
9026,4729
9026,6024
9026,5756
9026,5872
9026,3823
9026,4461
9026,4950
9026,5871
9026,6015
9026,6042
9026,5308
9026,6013
9026,5555
9026,5456
9026,5264
9026,4179
9026,5855
9026,5081
9026,5086
9026,3937
9026,4609
9026,4173
9026,3487
9026,4401
9026,5919
9026,5306
9026,5260
9026,5834
9026,3850
9026,5905
9026,4917
9026,5795
9026,4453
9026,3980
9026,3847
9026,5627
9026,3602
9026,4261
9026,5435
9026,3393
9026,4811
9026,5041
9026,4073
9026,4665
9026,4844
9026,5482
9026,3566
9026,4403
9026,3413
9026,5362
9026,5958
9026,4798
9026,5674
9026,3499
9026,4128
9026,5439
9026,3957
9026,4833
9026,5419
9026,4899
9026,5383
9026,4945
9026,3583
9026,4660
9026,5956
9026,5594
9026,5420
9026,5684
9026,4606
9026,6092
9026,4519
9026,3434
9026,5327
9026,3492
9026,4865
9026,4985
9026,5506
9026,5266
9026,5713
9026,4280
9026,4556
9026,5601
9026,4268
9026,4828
9026,5881
9026,5825
9026,3559
9026,5005
9026,4569
9026,4304
9026,5982
9027,4982
9027,4579
9027,4543
9027,5895
9027,5690
9027,3599
9027,5058
9027,5687
9027,4080
9027,3460
9027,4145
9027,3602
9027,4244
9027,4759
9027,4987
9027,3878
9027,3912
9027,5199
9027,4387
9027,3721
9027,3432
9027,4231
9027,3522
9027,4309
9027,3744
9027,4087
9027,5886
9027,4764
9027,4316
9027,4900
9027,4843
9027,6129
9027,3423
9027,5585
9027,4237
9027,3705
9027,3434
9028,6010
9028,3493
9028,4331
9028,5681
9028,5971
9028,4611
9028,5001
9028,3664
9028,3902
9028,4494
9028,4657
9028,6050
9028,3977
9028,3464
9028,4003
9028,3494
9028,5615
9028,5550
9028,6030
9028,4340
9028,4641
9028,5183
9028,5892
9028,5983
9028,3708
9028,4352
9028,4831
9028,5062
9028,4663
9028,4258
9028,3459
9028,5806
9028,6128
9028,4678
9028,4806
9028,5882
9028,4172
9028,3657
9028,3363
9028,5702
9028,3661
9028,5479
9028,5529
9028,4400
9028,5261
9028,3603
9028,5534
9028,5668
9028,4923
9028,4397
9028,5411
9028,3518
9028,5036
9028,5798
9028,4550
9028,5821
9028,3600
9028,4936
9028,3531
9028,3878
9028,4565
9028,3463
9028,6144
9028,4549
9028,3926
9028,5387
9028,5417
9028,3579
9028,5505
9028,4589
9028,4464
9028,5481
9028,4510
9028,5699
9028,6083
9028,3895
9028,5509
9028,5712
9028,3889
9028,3423
9028,5460
9028,4082
9028,4122
9028,5566
9028,4561
9028,6091
9028,4166
9028,3436
9028,3743
9028,3374
9028,4022
9028,3500
9028,4135
9028,5055
9028,4633
9028,5645
9028,4719
9028,5083
9028,5510
9028,4965
9028,3793
9028,5653
9028,5068
9028,5006
9028,3979
9028,3645
9028,4899
9028,5845
9028,6125
9028,4901
9028,5153
9028,4062
9028,4630
9028,5100
9028,5594
9028,4616
9028,4798
9028,5335
9028,3479
9028,5748
9028,5995
9028,4763
9028,4208
9028,3769
9028,5278
9028,3576
9028,5478
9028,4418
9028,5201
9028,4391
9028,5945
9028,5047
9028,4706
9028,4883
9028,4410
9028,5162
9028,5197
9028,4142
9028,3803
9028,5306
9028,3537
9028,3835
9028,5819
9028,5614
9028,4522
9028,3876
9028,4185
9028,3420
9028,3935
9028,4342
9028,5593
9028,4249
9028,5329
9028,4892
9028,3921
9028,3406
9028,3760
9028,3549
9028,3709
9028,5540
9028,6089
9028,5154
9028,5332
9028,3841
9028,5207
9028,6041
9028,4596
9028,5912
9028,5110
9028,5271
9028,4479
9028,3487
9028,4621
9028,4927
9028,5576
9028,4083
9028,3820
9028,4836
9028,6053
9028,3957
9028,5166
9028,5552
9028,5015
9028,4665
9028,3502
9028,4241
9028,5482
9028,5903
9028,3703
9028,5474
9028,3691
9028,6071
9028,3408
9028,4649
9028,4671
9028,5080
9028,5451
9028,4853
9028,5802
9028,5597
9028,5838
9028,6032
9028,5198
9028,5825
9028,5008
9028,3696
9028,5491
9028,4765
9028,6086
9028,5647
9028,4795
9028,4328
9028,4608
9028,3353
9028,5160
9028,5704
9028,4296
9028,4487
9028,4973
9028,5353
9028,4704
9028,4065
9028,3717
9028,4366
9028,3362
9028,5009
9028,4566
9028,5476
9028,4387
9028,3623
9028,4204
9028,5528
9028,4074
9028,5795
9028,3398
9028,4454
9029,4462
9029,4263
9029,3856
9029,3877
9029,5568
9029,3731
9029,4572
9029,5137
9029,4092
9029,4478
9029,5153
9029,3839
9029,4318
9029,6033
9029,5395
9029,4544
9029,3454
9029,3743
9029,5789
9029,5782
9029,3395
9029,5535
9029,4581
9029,5948
9029,4529
9029,4653
9029,4873
9029,3905
9029,4598
9029,4328
9029,4152
9029,4672
9029,4895
9029,3780
9029,4854
9029,5134
9029,5169
9029,4243
9029,4591
9029,3553
9029,5870
9029,4064
9029,4058
9029,3896
9029,5312
9029,3537
9029,5551
9029,5434
9029,4210
9029,4723
9029,3450
9029,3493
9029,5187
9029,5965
9029,5504
9029,5673
9029,6134
9029,5678
9029,4197
9029,3842
9029,4358
9029,3692
9029,5162
9029,4744
9029,4460
9029,4473
9029,5475
9029,4906
9029,5999
9029,3811
9029,5437
9029,4998
9029,5569
9029,4178
9029,3906
9029,3666
9029,3799
9029,5318
9029,3847
9029,4847
9029,5073
9029,5937
9029,5243
9029,4643
9029,5094
9029,3564
9029,3964
9029,4631
9029,4073
9029,4845
9029,4001
9029,4801
9029,5105
9029,3983
9029,5558
9029,5062
9029,4355
9029,4169
9029,3671
9030,4845
9030,5179
9030,4651
9030,5992
9030,5518
9030,4500
9030,4017
9030,3809
9030,4512
9030,5533
9030,5645
9030,5883
9030,5103
9030,4270
9030,3366
9030,4246
9030,5087
9030,6093
9030,4095
9030,5821
9030,5782
9030,4444
9030,4056
9030,6035
9030,5210
9030,4356
9030,3807
9030,4333
9030,5143
9030,5050
9030,5598
9030,6100
9030,4636
9030,3631
9030,5579
9030,5106
9030,5101
9030,5484
9030,4788
9030,4676
9030,4158
9030,3989
9030,3442
9030,4299
9030,5172
9030,4817
9030,5654
9030,5551
9030,3625
9030,3585
9030,4001
9030,4245
9030,3713
9030,5565
9030,4665
9030,3971
9030,5967
9030,4906
9030,3536
9030,4749
9030,5418
9030,4039
9030,5129
9030,4443
9030,4235
9030,5281
9030,5395
9030,5195
9030,4885
9030,3777
9030,4628
9030,3714
9030,3824
9030,3652
9030,4646
9030,3673
9030,3686
9030,6006
9030,5492
9030,6012
9030,4462
9030,3720
9030,5950
9030,3444
9030,4911
9030,3624
9030,5367
9030,5010
9030,5141
9030,4895
9030,5901
9030,5117
9030,4241
9030,5576
9030,3904
9030,4830
9030,3447
9030,6008
9030,4623
9030,3377
9030,5261
9030,5689
9030,5634
9030,4485
9030,3638
9030,4496
9030,4804
9030,4401
9030,5387
9030,4051
9030,3632
9030,5903
9030,5494
9030,5795
9030,3830
9030,5814
9030,3411
9030,4257
9030,4553
9030,4068
9030,4375
9030,5897
9030,5321
9030,4976
9030,5432
9030,4487
9030,3861
9030,4091
9030,3614
9030,3994
9030,4909
9030,5384
9030,4993
9030,4340
9030,4705
9030,3895
9030,5352
9030,6121
9030,4971
9030,4161
9030,4987
9030,3983
9030,3893
9030,4477
9030,4978
9030,3742
9030,4434
9030,5264
9030,4046
9030,6103
9030,4708
9030,6148
9030,5920
9030,4238
9030,5691
9030,6116
9030,5162
9030,3756
9030,3601
9030,3681
9030,5870
9030,4226
9030,3707
9030,5502
9030,5222
9030,3705
9030,3819
9030,5491
9030,3474
9030,5772
9030,4736
9030,4120
9030,5328
9030,4152
9030,5468
9030,5049
9030,3914
9030,5187
9030,3751
9030,3501
9030,3603
9030,3635
9030,5536
9030,4025
9030,5257
9030,5995
9030,6037
9030,5784
9030,3592
9030,4031
9030,5154
9030,5423
9030,3821
9030,5738
9030,6002
9030,5239
9030,3820
9030,4321
9030,4410
9030,4419
9030,4107
9030,4464
9030,5694
9030,3938
9030,5133
9030,4624
9030,3882
9030,4834
9030,6092
9030,5035
9030,5188
9031,6080
9031,6112
9031,5143
9031,5720
9031,5783
9031,5803
9031,4516
9031,4141
9031,6069
9031,4144
9031,3618
9031,5320
9031,3522
9031,5703
9031,3653
9031,5597
9031,5660
9031,4545
9031,4823
9031,4830
9031,6044
9031,4527
9031,5199
9031,5264
9031,3807
9031,5822
9031,5462
9031,4706
9031,5542
9031,5769
9031,5275
9031,4126
9031,4522
9031,5834
9031,4348
9031,3685
9031,5656
9031,4440
9031,3757
9031,5052
9031,5678
9031,5774
9031,4590
9031,3574
9031,4027
9031,5873
9031,3786
9031,4216
9031,4404
9031,5664
9031,5571
9031,5088
9032,3503
9032,5867
9032,4252
9032,3408
9032,5661
9032,4617
9032,3424
9032,4502
9032,4590
9032,3362
9032,5578
9032,5715
9032,4230
9032,4341
9032,5460
9032,5535
9033,3477
9033,3590
9033,4617
9033,5583
9033,3856
9033,4055
9033,5201
9033,3754
9033,5568
9033,3834
9033,5853
9033,3926
9033,4793
9033,3619
9033,4665
9033,3742
9033,4439
9033,4104
9033,6086
9033,3669
9033,4242
9033,5879
9033,3417
9033,4679
9033,4807
9033,4332
9033,4044
9033,5341
9033,3761
9033,5840
9033,3880
9033,3497
9033,5460
9033,3958
9033,4716
9033,4329
9033,4722
9033,5632
9033,5328
9033,4472
9033,4961
9033,3587
9033,4753
9033,4401
9033,5263
9033,5256
9033,4155
9033,4289
9033,3987
9033,4190
9033,5084
9033,4069
9033,4449
9033,5137
9033,4819
9033,4057
9033,4379
9033,5402
9033,3578
9033,5135
9033,4979
9033,5472
9033,5436
9033,4432
9033,4684
9033,5787
9033,4036
9033,4720
9033,5382
9033,3616
9033,3630
9033,4200
9033,5711
9033,4334
9033,5831
9033,5975
9033,4302
9033,4040
9033,6115
9033,4095
9033,4972
9033,3758
9033,4803
9033,4857
9033,3563
9033,4228
9033,5596
9033,5654
9033,4795
9033,5824
9033,4812
9033,5020
9033,5737
9033,5976
9033,3729
9033,4113
9033,4625
9033,5100
9033,4192
9033,3670
9033,5042
9033,5615
9033,5295
9033,5443
9033,3668
9033,3894
9033,4741
9033,4669
9033,3739
9034,5187
9034,5678
9034,4935
9034,4404
9034,3641
9034,3540
9034,5414
9034,4176
9034,3494
9034,4927
9034,5273
9034,5427
9034,4470
9034,5528
9034,3519
9034,5745
9034,3821
9034,5050
9034,6148
9034,5260
9034,5627
9034,5622
9034,3426
9034,4856
9034,5112
9034,4473
9034,5933
9034,4617
9034,5834
9034,3375
9034,4759
9034,3915
9034,3721
9034,5127
9034,4679
9034,3925
9034,4749
9034,5458
9034,3758
9034,4521
9034,4758
9034,4793
9034,3476
9034,5855
9034,4263
9034,4109
9034,4156
9034,5973
9034,5099
9034,5242
9034,6071
9034,3973
9034,3924
9034,4878
9034,4924
9034,5440
9034,4822
9034,6139
9034,3954
9034,5353
9034,3788
9034,4662
9034,5980
9034,6014
9034,4450
9034,5299
9034,4140
9034,4919
9034,5404
9034,4734
9034,3398
9034,4134
9034,4426
9034,5348
9034,6033
9034,5221
9034,5132
9034,3713
9034,4697
9034,5549
9034,5717
9034,3937
9034,5896
9034,5750
9034,5300
9034,3455
9034,3853
9034,3359
9034,4368
9034,4619
9034,3942
9034,5226
9034,6042
9034,4830
9034,5791
9034,3801
9034,4417
9034,3415
9034,6000
9034,5840
9034,3633
9034,4748
9034,3559
9034,5838
9034,5482
9034,5833
9034,4637
9034,5899
9034,5303
9034,4652
9034,3777
9034,6105
9034,5916
9034,3490
9034,4933
9034,4026
9034,3962
9034,3860
9034,4777
9034,3636
9034,5480
9034,4157
9034,5535
9034,3663
9034,4448
9034,4922
9034,5907
9034,4625
9035,5170
9035,5404
9035,4412
9035,4660
9035,4011
9035,4250
9035,6012
9035,3779
9035,4459
9035,5787
9035,3823
9035,5116
9035,5708
9035,4649
9035,3583
9035,4551
9035,6140
9035,5243
9035,4191
9035,3784
9035,3542
9035,5811
9035,3920
9035,3572
9035,6116
9035,4999
9035,6129
9035,5231
9035,5242
9035,3803
9035,5225
9035,4607
9035,3593
9035,4562
9035,3562
9035,6015
9035,3688
9035,5353
9035,4242
9035,4165
9035,5468
9035,5411
9035,5722
9035,4106
9035,5632
9035,5537
9035,5281
9036,3609
9036,5678
9036,4771
9036,3374
9036,5112
9036,5580
9036,4700
9036,3876
9036,4988
9036,5316
9036,5179
9036,3773
9036,3937
9036,3450
9036,4653
9036,5892
9036,5089
9036,4389
9036,5343
9036,5862
9036,3918
9036,4028
9036,5258
9036,4003
9036,4697
9036,5041
9036,5408
9036,3932
9036,4144
9036,4102
9036,5843
9036,5968
9036,4671
9036,4132
9036,5044
9036,5566
9036,3507
9036,3381
9036,5696
9036,3986
9036,5950
9036,5848
9036,4651
9036,3352
9036,6056
9036,3737
9036,4043
9036,4510
9036,3712
9036,3966
9036,3360
9036,3472
9036,5141
9036,5486
9036,4127
9036,5421
9036,4478
9036,3389
9036,4884
9036,4364
9036,5704
9036,4195
9036,4107
9036,5369
9036,5351
9036,4892
9036,4977
9036,5590
9036,4526
9036,4666
9036,4421
9036,6126
9036,5379
9036,5236
9036,5719
9036,3895
9036,4449
9036,4572
9036,4067
9036,5620
9036,5440
9036,4840
9036,4957
9036,4247
9036,4766
9036,4440
9036,6023
9036,4404
9036,4693
9036,5158
