uid,location,start_time,end_time,uid,uid,dgraph.type
9351,,6/1/22 17:57,6/1/22 0:18,927,8310,Demo
9352,,6/1/22 11:42,5/31/22 21:32,1219,8741,Demo
9353,,6/1/22 7:18,6/1/22 12:15,1148,8153,Demo
9354,,6/1/22 0:40,6/1/22 16:19,789,8660,Demo
9355,,5/31/22 22:08,6/1/22 0:06,805,8696,Demo
9356,,6/1/22 1:29,5/31/22 23:16,755,8567,Demo
9357,,6/1/22 6:06,6/1/22 17:11,713,8229,Demo
9358,,6/1/22 13:13,6/1/22 8:05,1234,8380,Demo
9359,,6/1/22 17:55,6/1/22 5:57,991,8819,Demo
9360,,6/1/22 11:34,6/1/22 9:03,753,8843,Demo
9361,,6/1/22 13:34,6/1/22 3:14,798,8707,Demo
9362,,6/1/22 3:11,5/31/22 23:52,1043,8632,Demo
9363,,5/31/22 21:08,6/1/22 6:47,1311,8866,Demo
9364,,5/31/22 21:14,5/31/22 21:31,1164,8443,Demo
9365,,5/31/22 23:33,6/1/22 19:12,689,8146,Demo
9366,,6/1/22 19:59,6/1/22 11:44,742,8072,Demo
9367,,6/1/22 3:03,6/1/22 16:53,1220,8985,Demo
9368,,6/1/22 17:44,6/1/22 3:09,946,8075,Demo
9369,,6/1/22 17:33,6/1/22 9:26,1232,8204,Demo
9370,,6/1/22 16:11,6/1/22 10:36,1148,8153,Demo
9371,,6/1/22 14:14,6/1/22 12:23,741,8739,Demo
9372,,6/1/22 7:36,5/31/22 22:46,927,8931,Demo
9373,,5/31/22 20:15,6/1/22 9:44,1149,8237,Demo
9374,,6/1/22 15:22,6/1/22 17:26,1104,8397,Demo
9375,,5/31/22 21:35,6/1/22 9:56,1191,8418,Demo
9376,,6/1/22 15:56,6/1/22 19:57,1207,8494,Demo
9377,,6/1/22 15:09,6/1/22 15:54,799,8804,Demo
9378,,6/1/22 11:33,6/1/22 5:23,1337,8679,Demo
9379,,6/1/22 8:30,6/1/22 18:09,705,8512,Demo
9380,,6/1/22 16:13,6/1/22 17:16,1096,8455,Demo
9381,,6/1/22 3:03,6/1/22 7:24,899,8911,Demo
9382,,6/1/22 14:28,5/31/22 22:38,1057,8832,Demo
9383,,6/1/22 17:43,6/1/22 2:50,1260,8160,Demo
9384,,6/1/22 8:37,6/1/22 15:40,1344,8948,Demo
9385,,6/1/22 1:21,6/1/22 11:39,1251,8994,Demo
9386,,6/1/22 5:58,6/1/22 1:02,1064,8581,Demo
9387,,6/1/22 15:56,6/1/22 17:01,712,8382,Demo
9388,,6/1/22 10:14,6/1/22 6:46,693,8192,Demo
9389,,6/1/22 14:09,6/1/22 15:23,1060,8410,Demo
9390,,6/1/22 0:33,6/1/22 11:40,695,8466,Demo
9391,,6/1/22 9:39,6/1/22 13:26,1307,8529,Demo
9392,,6/1/22 14:59,6/1/22 12:05,870,8814,Demo
9393,,6/1/22 4:01,6/1/22 15:54,980,8218,Demo
9394,,6/1/22 6:32,6/1/22 16:15,863,8959,Demo
9395,,6/1/22 17:33,6/1/22 16:38,1080,8187,Demo
9396,,6/1/22 0:02,5/31/22 21:54,743,8314,Demo
9397,,6/1/22 5:17,6/1/22 11:21,1160,8120,Demo
9398,,6/1/22 14:37,5/31/22 22:12,1145,8944,Demo
9399,,6/1/22 1:23,6/1/22 14:11,1062,8366,Demo
9400,,6/1/22 15:19,6/1/22 1:43,812,8751,Demo
9401,,5/31/22 22:54,6/1/22 3:00,869,8230,Demo
9402,,5/31/22 21:29,6/1/22 11:42,1277,8462,Demo
9403,,6/1/22 8:00,5/31/22 21:37,679,8917,Demo
9404,,6/1/22 13:24,6/1/22 3:57,928,8848,Demo
9405,,6/1/22 4:04,6/1/22 4:56,813,8432,Demo
