uid,location,start_time,end_time,uid,uid
9026,,6/1/22 17:43,6/1/22 4:49,8175,853
9027,,6/1/22 15:19,6/1/22 14:53,8716,1068
9028,,6/1/22 7:42,6/1/22 13:07,8786,688
9029,,6/1/22 13:11,6/1/22 18:18,8433,1109
9030,,6/1/22 9:34,6/1/22 18:47,8253,1147
9031,,6/1/22 17:36,5/31/22 23:13,8467,959
9032,,6/1/22 7:42,6/1/22 1:57,8177,1322
9033,,6/1/22 4:37,5/31/22 23:07,8704,856
9034,,6/1/22 3:47,6/1/22 18:06,8831,751
9035,,6/1/22 14:34,5/31/22 20:26,8192,693
9036,,6/1/22 18:29,6/1/22 1:45,8047,884
9037,,5/31/22 22:21,6/1/22 15:14,8444,1176
9038,,6/1/22 0:06,5/31/22 21:34,8081,1078
9039,,5/31/22 21:18,6/1/22 10:07,8188,1050
9040,,6/1/22 18:18,5/31/22 23:04,8634,1109
9041,,6/1/22 2:30,6/1/22 1:42,8745,703
9042,,6/1/22 4:33,6/1/22 11:17,8906,1078
9043,,6/1/22 2:28,6/1/22 14:05,8928,1124
9044,,6/1/22 4:15,6/1/22 7:31,8337,776
9045,,5/31/22 21:55,6/1/22 14:26,8101,984
9046,,6/1/22 3:14,6/1/22 8:03,8981,988
9047,,6/1/22 12:59,6/1/22 18:13,8147,711
9048,,6/1/22 17:04,5/31/22 21:30,8777,716
9049,,5/31/22 20:57,6/1/22 18:06,8591,1294
9050,,5/31/22 23:25,6/1/22 0:51,8737,989
9051,,6/1/22 6:10,5/31/22 22:23,8668,1126
9052,,6/1/22 2:09,6/1/22 17:05,8571,983
9053,,6/1/22 5:24,6/1/22 10:36,8933,1080
9054,,5/31/22 21:27,5/31/22 23:51,8685,1130
9055,,6/1/22 4:10,6/1/22 14:49,8251,702
9056,,6/1/22 12:30,6/1/22 3:42,8084,1339
9057,,6/1/22 12:00,6/1/22 14:51,8109,936
9058,,6/1/22 6:23,6/1/22 18:04,8236,845
9059,,6/1/22 10:51,5/31/22 21:25,8291,718
9060,,5/31/22 20:24,6/1/22 18:22,8725,773
9061,,5/31/22 22:59,6/1/22 3:15,8262,1008
9062,,6/1/22 4:32,6/1/22 6:41,8578,826
9063,,6/1/22 15:52,5/31/22 22:06,8886,1140
9064,,6/1/22 3:41,6/1/22 11:57,8500,1198
9065,,6/1/22 13:15,6/1/22 4:10,8083,685
9066,,6/1/22 11:23,6/1/22 8:29,8601,1078
9067,,6/1/22 0:30,5/31/22 20:04,8111,960
9068,,6/1/22 15:01,6/1/22 7:13,8692,1035
9069,,6/1/22 15:40,6/1/22 7:00,8765,1012
9070,,6/1/22 19:24,6/1/22 13:12,8777,716
9071,,6/1/22 14:33,6/1/22 12:31,8893,788
9072,,6/1/22 12:38,5/31/22 20:33,8935,1048
9073,,6/1/22 13:32,6/1/22 15:35,8144,697
9074,,5/31/22 21:37,6/1/22 0:42,8933,1080
9075,,6/1/22 7:31,6/1/22 4:18,8611,1036
9076,,6/1/22 10:56,6/1/22 19:08,8237,1149
9077,,6/1/22 8:26,6/1/22 11:47,8188,1050
9078,,5/31/22 23:18,5/31/22 23:44,8705,1286
9079,,6/1/22 12:08,6/1/22 12:59,8225,1034
9080,,6/1/22 16:08,6/1/22 15:26,8781,939
9081,,6/1/22 16:05,6/1/22 7:34,8339,941
9082,,6/1/22 17:43,6/1/22 0:04,8379,1013
9083,,6/1/22 5:55,5/31/22 21:14,8364,924
9084,,6/1/22 19:21,6/1/22 9:57,8210,1157
9085,,5/31/22 23:08,6/1/22 18:05,8898,1088
9086,,6/1/22 9:17,6/1/22 19:55,8767,1228
9087,,5/31/22 20:19,6/1/22 10:35,8566,865
9088,,5/31/22 23:35,6/1/22 12:06,8559,712
9089,,6/1/22 18:36,6/1/22 16:26,8435,927
9090,,6/1/22 0:15,6/1/22 19:31,8598,889
9091,,6/1/22 1:16,6/1/22 18:11,9016,839
9092,,6/1/22 4:37,6/1/22 5:28,8306,1222
9093,,6/1/22 3:05,6/1/22 11:36,8231,1215
9094,,5/31/22 22:50,6/1/22 2:03,8703,1290
9095,,6/1/22 9:37,5/31/22 20:40,8123,983
9096,,6/1/22 14:05,6/1/22 4:59,8396,952
9097,,6/1/22 12:10,6/1/22 4:17,8691,686
9098,,6/1/22 7:16,6/1/22 10:13,8470,971
9099,,5/31/22 23:11,6/1/22 1:03,8803,1175
9100,,6/1/22 10:21,6/1/22 0:41,8219,768
9101,,6/1/22 4:04,6/1/22 0:38,8947,1308
9102,,6/1/22 6:13,6/1/22 6:50,8794,954
9103,,6/1/22 19:26,6/1/22 1:20,8151,885
9104,,6/1/22 13:18,6/1/22 8:07,8476,856
9105,,6/1/22 19:50,6/1/22 3:50,8188,1050
9106,,6/1/22 15:03,6/1/22 7:00,8526,1134
9107,,6/1/22 11:03,6/1/22 10:26,8082,771
9108,,6/1/22 16:10,6/1/22 6:55,8134,715
9109,,6/1/22 7:50,6/1/22 1:00,8849,907
9110,,6/1/22 16:50,6/1/22 12:35,8366,1062
9111,,5/31/22 23:41,6/1/22 2:35,8637,827
9112,,6/1/22 10:05,6/1/22 5:52,8730,1069
9113,,6/1/22 17:55,6/1/22 16:30,8416,752
9114,,6/1/22 13:18,6/1/22 7:31,8679,1337
9115,,6/1/22 19:58,6/1/22 10:51,8597,809
9116,,6/1/22 16:04,5/31/22 23:54,8440,932
9117,,5/31/22 20:14,6/1/22 19:20,8907,1061
9118,,6/1/22 14:50,6/1/22 14:03,8993,944
9119,,6/1/22 5:24,6/1/22 6:34,8460,718
9120,,6/1/22 11:38,6/1/22 2:57,8469,861
9121,,6/1/22 16:40,5/31/22 22:49,8725,773
9122,,6/1/22 17:23,5/31/22 21:10,8497,1048
9123,,6/1/22 2:07,6/1/22 17:24,8219,768
9124,,6/1/22 17:19,5/31/22 22:45,8908,850
9125,,6/1/22 6:05,6/1/22 11:50,8036,711
9126,,5/31/22 23:46,6/1/22 16:21,8974,748
9127,,5/31/22 22:33,6/1/22 10:27,8633,714
9128,,5/31/22 21:55,6/1/22 9:19,8945,790
9129,,6/1/22 2:39,5/31/22 23:25,8937,1047
9130,,6/1/22 3:14,6/1/22 16:31,8221,1038
9131,,6/1/22 19:01,6/1/22 13:20,8992,893
9132,,5/31/22 23:15,6/1/22 0:09,8338,1105
9133,,6/1/22 2:01,6/1/22 15:04,8871,1266
9134,,6/1/22 16:34,6/1/22 13:02,8804,799
9135,,6/1/22 7:34,6/1/22 0:21,8082,771
9136,,6/1/22 8:55,6/1/22 4:47,8261,1107
9137,,6/1/22 19:26,6/1/22 13:37,8062,837
9138,,6/1/22 19:50,5/31/22 23:52,8393,1219
9139,,6/1/22 6:31,6/1/22 19:51,8537,867
9140,,6/1/22 3:18,6/1/22 17:40,8796,1131
9141,,6/1/22 18:04,6/1/22 8:58,9023,1047
9142,,6/1/22 5:48,6/1/22 15:29,8532,869
9143,,6/1/22 9:19,6/1/22 9:39,8403,970
9144,,6/1/22 17:53,6/1/22 10:11,8142,1285
9145,,5/31/22 23:06,6/1/22 19:57,8214,1049
9146,,6/1/22 14:18,6/1/22 15:35,8740,1312
9147,,6/1/22 11:32,5/31/22 23:22,8137,905
9148,,5/31/22 23:08,6/1/22 14:41,8076,1054
9149,,5/31/22 21:11,6/1/22 11:33,8512,705
9150,,6/1/22 6:36,6/1/22 13:40,8587,852
9151,,6/1/22 1:58,6/1/22 13:39,8332,1147
9152,,5/31/22 21:37,5/31/22 22:05,8525,1163
9153,,6/1/22 2:12,6/1/22 8:29,8191,946
9154,,5/31/22 21:20,6/1/22 5:17,8968,928
9155,,6/1/22 11:56,6/1/22 14:19,8484,1150
9156,,6/1/22 15:15,6/1/22 14:54,8322,887
9157,,6/1/22 5:24,6/1/22 14:09,8184,1021
9158,,6/1/22 4:54,5/31/22 23:52,8173,1012
9159,,6/1/22 7:45,6/1/22 3:54,8073,680
9160,,6/1/22 11:55,6/1/22 8:24,8848,928
9161,,6/1/22 18:20,6/1/22 7:17,8401,754
9162,,6/1/22 19:31,6/1/22 14:56,8598,889
9163,,6/1/22 9:20,6/1/22 16:19,8124,804
9164,,6/1/22 2:13,5/31/22 20:28,8102,1229
9165,,6/1/22 9:40,5/31/22 23:27,8533,937
9166,,6/1/22 0:42,6/1/22 7:05,8390,1009
9167,,6/1/22 3:45,6/1/22 17:22,8915,1095
9168,,6/1/22 1:24,6/1/22 11:32,8591,1294
9169,,6/1/22 2:16,6/1/22 12:28,8906,1078
9170,,6/1/22 2:24,6/1/22 8:00,8495,988
9171,,6/1/22 8:21,6/1/22 6:06,8664,1163
9172,,6/1/22 8:55,6/1/22 14:51,8892,1273
9173,,6/1/22 4:00,6/1/22 11:54,8851,1221
9174,,6/1/22 11:12,5/31/22 22:47,8336,790
9175,,6/1/22 2:30,5/31/22 22:49,9004,1334
9176,,6/1/22 2:23,5/31/22 22:51,8247,1091
9177,,6/1/22 7:06,6/1/22 15:36,8687,1192
9178,,6/1/22 4:33,6/1/22 18:47,8056,951
9179,,6/1/22 12:57,5/31/22 22:49,8808,862
9180,,5/31/22 22:42,6/1/22 15:31,8285,943
9181,,6/1/22 12:03,6/1/22 8:59,8870,695
9182,,6/1/22 14:15,6/1/22 16:54,8200,941
9183,,6/1/22 16:08,6/1/22 10:00,8896,769
9184,,5/31/22 23:17,5/31/22 20:11,8109,936
9185,,6/1/22 18:27,6/1/22 0:26,8214,1049
9186,,6/1/22 14:09,6/1/22 16:33,8789,1286
9187,,6/1/22 4:42,6/1/22 19:32,8577,929
9188,,6/1/22 18:45,6/1/22 8:44,8447,733
9189,,6/1/22 19:15,6/1/22 1:11,8680,935
9190,,6/1/22 11:23,6/1/22 13:35,8926,788
9191,,6/1/22 17:44,6/1/22 17:21,8766,681
9192,,6/1/22 3:28,6/1/22 2:19,8961,1018
9193,,6/1/22 1:01,5/31/22 20:59,8549,1130
9194,,6/1/22 7:52,6/1/22 7:56,8238,693
9195,,6/1/22 10:08,6/1/22 3:23,8745,703
9196,,6/1/22 2:00,6/1/22 12:28,8408,1077
9197,,6/1/22 6:09,6/1/22 0:22,8062,837
9198,,6/1/22 12:48,5/31/22 20:35,8094,1157
9199,,6/1/22 1:27,6/1/22 3:52,8070,1262
9200,,6/1/22 8:20,6/1/22 13:05,8486,1177
9201,,6/1/22 5:01,6/1/22 18:15,8295,707
9202,,6/1/22 19:13,6/1/22 14:34,8029,1136
9203,,5/31/22 23:07,6/1/22 7:49,8971,1023
9204,,5/31/22 23:59,6/1/22 1:56,8819,991
9205,,5/31/22 20:32,6/1/22 15:46,8203,1219
9206,,6/1/22 5:49,6/1/22 15:33,8084,1339
9207,,6/1/22 12:16,6/1/22 17:09,8494,1207
9208,,6/1/22 17:54,6/1/22 9:45,8034,749
9209,,5/31/22 23:54,5/31/22 21:04,8456,1053
9210,,6/1/22 5:04,5/31/22 23:45,8193,871
9211,,5/31/22 23:34,5/31/22 21:55,8231,1215
9212,,6/1/22 11:08,6/1/22 4:43,8750,842
9213,,6/1/22 16:04,6/1/22 5:41,8439,737
9214,,6/1/22 8:33,6/1/22 7:13,8976,1008
9215,,6/1/22 19:07,5/31/22 22:01,8311,897
9216,,6/1/22 9:42,5/31/22 20:43,8814,870
9217,,6/1/22 9:55,6/1/22 1:34,8582,1335
9218,,5/31/22 21:54,6/1/22 4:17,8308,1003
9219,,6/1/22 19:49,6/1/22 15:26,8058,930
9220,,6/1/22 19:28,6/1/22 8:15,8128,942
9221,,6/1/22 5:15,6/1/22 18:59,8109,936
9222,,6/1/22 9:53,5/31/22 22:11,8805,741
9223,,6/1/22 13:04,6/1/22 8:31,8108,1115
9224,,6/1/22 5:06,6/1/22 10:13,8637,827
9225,,6/1/22 6:49,6/1/22 13:50,8426,880
9226,,6/1/22 0:59,6/1/22 6:56,8930,907
9227,,6/1/22 0:02,6/1/22 14:01,8829,805
9228,,5/31/22 21:11,6/1/22 16:28,8896,769
9229,,6/1/22 6:03,5/31/22 20:28,8064,1065
9230,,5/31/22 23:00,6/1/22 11:29,8282,842
9231,,6/1/22 11:10,6/1/22 0:26,8700,833
9232,,5/31/22 22:46,5/31/22 20:29,8677,1000
9233,,6/1/22 0:26,6/1/22 8:27,8393,1219
9234,,6/1/22 7:04,6/1/22 17:55,8754,1246
9235,,6/1/22 9:01,6/1/22 14:07,8465,874
9236,,6/1/22 0:13,6/1/22 16:57,8094,1157
9237,,6/1/22 16:06,6/1/22 18:16,8216,885
9238,,6/1/22 2:38,6/1/22 1:16,8065,1053
9239,,6/1/22 2:55,6/1/22 7:41,8057,1304
