uid,uid
6764,1258
6764,857
6765,1258
6765,857
6763,1258
6763,857
6766,1258
6766,857
6762,1258
6762,857
6761,1258
6761,857
6760,1258
6760,857
6759,1258
6759,857
6550,1258
6550,857
6758,1258
6758,857
6757,1258
6757,857
6756,1258
6756,857
6755,1258
6755,857
6754,1258
6754,857
6753,1258
6753,857
6752,1258
6752,857
6751,1258
6751,857
6750,1258
6750,857
6553,1258
6553,857
6551,1258
6551,857
6554,1258
6554,857
6749,1258
6749,857
6552,1258
6552,857
6555,1258
6555,857
7209,1258
7209,857
7076,1258
7076,857
7075,1258
7075,857
7210,1258
7210,857
7211,1258
7211,857
7074,1258
7074,857
7212,1258
7212,857
7213,1258
7213,857
6518,1258
6518,857
7073,1258
7073,857
6519,1258
6519,857
7214,1258
7214,857
7077,1258
7077,857
7215,1258
7215,857
6494,1258
6494,857
7072,1258
7072,857
7216,1258
7216,857
7217,1258
7217,857
6520,1258
6520,857
7071,1258
7071,857
6521,1258
6521,857
7218,1258
7218,857
7219,1258
7219,857
7070,1258
7070,857
7220,1258
7220,857
6522,1258
6522,857
7221,1258
7221,857
7069,1258
7069,857
6523,1258
6523,857
7222,1258
7222,857
7068,1258
7068,857
7223,1258
7223,857
7224,1258
7224,857
6524,1258
6524,857
7231,1258
7231,857
7225,1258
7225,857
6525,1258
6525,857
7067,1258
7067,857
7226,1258
7226,857
7227,1258
7227,857
7228,1258
7228,857
6526,1258
6526,857
7066,1258
7066,857
6527,1258
6527,857
6532,1258
6532,857
6529,1258
6529,857
6528,1258
6528,857
6531,1258
6531,857
6530,1258
6530,857
7230,1258
7230,857
7229,1258
7229,857
6575,1258
6575,857
6573,1258
6573,857
6556,1258
6556,857
6557,1258
6557,857
6558,1258
6558,857
6559,1258
6559,857
6560,1258
6560,857
6561,1258
6561,857
6562,1258
6562,857
6563,1258
6563,857
6564,1258
6564,857
6565,1258
6565,857
6566,1258
6566,857
6567,1258
6567,857
6568,1258
6568,857
6569,1258
6569,857
6574,1258
6574,857
6570,1258
6570,857
6571,1258
6571,857
6572,1258
6572,857
6576,1258
6576,857
6612,1258
6612,857
7244,1258
7244,857
7328,1258
7328,857
6613,1258
6613,857
7245,1258
7245,857
7329,1258
7329,857
6614,1258
6614,857
7246,1258
7246,857
7330,1258
7330,857
6615,1258
6615,857
6616,1258
6616,857
7247,1258
7247,857
7331,1258
7331,857
7248,1258
7248,857
7332,1258
7332,857
6617,1258
6617,857
7249,1258
7249,857
7333,1258
7333,857
6618,1258
6618,857
7250,1258
7250,857
7334,1258
7334,857
6619,1258
6619,857
7251,1258
7251,857
7335,1258
7335,857
6620,1258
6620,857
7252,1258
7252,857
7336,1258
7336,857
6621,1258
6621,857
7253,1258
7253,857
7337,1258
7337,857
6622,1258
6622,857
7254,1258
7254,857
7338,1258
7338,857
6623,1258
6623,857
7255,1258
7255,857
7339,1258
7339,857
6624,1258
6624,857
7256,1258
7256,857
7340,1258
7340,857
6625,1258
6625,857
7257,1258
7257,857
7341,1258
7341,857
6626,1258
6626,857
7258,1258
7258,857
7342,1258
7342,857
6627,1258
6627,857
6631,1258
6631,857
7259,1258
7259,857
7343,1258
7343,857
6628,1258
6628,857
6630,1258
6630,857
7260,1258
7260,857
7344,1258
7344,857
7261,1258
7261,857
7345,1258
7345,857
6629,1258
6629,857
6604,1258
6604,857
7262,1258
7262,857
7346,1258
7346,857
7263,1258
7263,857
7347,1258
7347,857
7264,1258
7264,857
7348,1258
7348,857
6605,1258
6605,857
6606,1258
6606,857
7265,1258
7265,857
7349,1258
7349,857
7271,1258
7271,857
7355,1258
7355,857
7266,1258
7266,857
7350,1258
7350,857
6607,1258
6607,857
7267,1258
7267,857
7351,1258
7351,857
6608,1258
6608,857
7268,1258
7268,857
7352,1258
7352,857
6609,1258
6609,857
7269,1258
7269,857
7353,1258
7353,857
6610,1258
6610,857
6611,1258
6611,857
7270,1258
7270,857
7354,1258
7354,857
6299,1258
6299,857
7032,1258
7032,857
7154,1258
7154,857
6998,1258
6998,857
6486,1258
6486,857
6487,1258
6487,857
7155,1258
7155,857
7031,1258
7031,857
7156,1258
7156,857
7030,1258
7030,857
7157,1258
7157,857
6997,1258
6997,857
7158,1258
7158,857
7029,1258
7029,857
6488,1258
6488,857
7159,1258
7159,857
6632,1258
6632,857
7160,1258
7160,857
6489,1258
6489,857
6633,1258
6633,857
7028,1258
7028,857
7161,1258
7161,857
6996,1258
6996,857
7162,1258
7162,857
6491,1258
6491,857
7027,1258
7027,857
6634,1258
6634,857
7163,1258
7163,857
6490,1258
6490,857
6635,1258
6635,857
7164,1258
7164,857
7026,1258
7026,857
7165,1258
7165,857
6995,1258
6995,857
6636,1258
6636,857
7025,1258
7025,857
7166,1258
7166,857
6637,1258
6637,857
7167,1258
7167,857
6999,1258
6999,857
7024,1258
7024,857
6493,1258
6493,857
7168,1258
7168,857
6638,1258
6638,857
6496,1258
6496,857
7169,1258
7169,857
6639,1258
6639,857
6492,1258
6492,857
6994,1258
6994,857
7023,1258
7023,857
7170,1258
7170,857
7180,1258
7180,857
6497,1258
6497,857
7171,1258
7171,857
6640,1258
6640,857
7172,1258
7172,857
6495,1258
6495,857
6641,1258
6641,857
7173,1258
7173,857
6642,1258
6642,857
7174,1258
7174,857
7035,1258
7035,857
6643,1258
6643,857
7175,1258
7175,857
6993,1258
6993,857
7038,1258
7038,857
6644,1258
6644,857
7034,1258
7034,857
7176,1258
7176,857
6485,1258
6485,857
6647,1258
6647,857
7039,1258
7039,857
7177,1258
7177,857
6645,1258
6645,857
7033,1258
7033,857
7178,1258
7178,857
6649,1258
6649,857
6646,1258
6646,857
7037,1258
7037,857
7179,1258
7179,857
6648,1258
6648,857
6329,1258
6329,857
6991,1258
6991,857
6330,1258
6330,857
6990,1258
6990,857
6331,1258
6331,857
6332,1258
6332,857
6333,1258
6333,857
6989,1258
6989,857
6334,1258
6334,857
6335,1258
6335,857
6336,1258
6336,857
6348,1258
6348,857
6988,1258
6988,857
6337,1258
6337,857
6338,1258
6338,857
6479,1258
6479,857
6339,1258
6339,857
6481,1258
6481,857
6987,1258
6987,857
6340,1258
6340,857
6992,1258
6992,857
6341,1258
6341,857
6342,1258
6342,857
6343,1258
6343,857
6347,1258
6347,857
6344,1258
6344,857
6349,1258
6349,857
6345,1258
6345,857
6480,1258
6480,857
6346,1258
6346,857
6986,1258
6986,857
6476,1258
6476,857
6459,1258
6459,857
6477,1258
6477,857
7021,1258
7021,857
6458,1258
6458,857
6430,1258
6430,857
7019,1258
7019,857
6474,1258
6474,857
6431,1258
6431,857
6475,1258
6475,857
7018,1258
7018,857
6457,1258
6457,857
6478,1258
6478,857
6472,1258
6472,857
6456,1258
6456,857
6473,1258
6473,857
7017,1258
7017,857
7022,1258
7022,857
6437,1258
6437,857
7016,1258
7016,857
6471,1258
6471,857
6432,1258
6432,857
6433,1258
6433,857
6470,1258
6470,857
6455,1258
6455,857
6469,1258
6469,857
6454,1258
6454,857
6449,1258
6449,857
6468,1258
6468,857
6439,1258
6439,857
6438,1258
6438,857
6448,1258
6448,857
6467,1258
6467,857
6446,1258
6446,857
6466,1258
6466,857
6453,1258
6453,857
6464,1258
6464,857
6447,1258
6447,857
6452,1258
6452,857
6445,1258
6445,857
6465,1258
6465,857
6436,1258
6436,857
6450,1258
6450,857
6444,1258
6444,857
6462,1258
6462,857
6443,1258
6443,857
6463,1258
6463,857
6451,1258
6451,857
6442,1258
6442,857
6460,1258
6460,857
6441,1258
6441,857
6461,1258
6461,857
6435,1258
6435,857
6434,1258
6434,857
6440,1258
6440,857
6402,1258
6402,857
6409,1258
6409,857
6705,1258
6705,857
6403,1258
6403,857
6706,1258
6706,857
6984,1258
6984,857
6408,1258
6408,857
6410,1258
6410,857
6650,1258
6650,857
6401,1258
6401,857
6591,1258
6591,857
6651,1258
6651,857
6407,1258
6407,857
6592,1258
6592,857
6707,1258
6707,857
6652,1258
6652,857
6405,1258
6405,857
6708,1258
6708,857
6983,1258
6983,857
6653,1258
6653,857
6593,1258
6593,857
6709,1258
6709,857
6654,1258
6654,857
7044,1258
7044,857
6406,1258
6406,857
6599,1258
6599,857
6710,1258
6710,857
6400,1258
6400,857
6594,1258
6594,857
6655,1258
6655,857
6711,1258
6711,857
6656,1258
6656,857
6982,1258
6982,857
6712,1258
6712,857
6657,1258
6657,857
6981,1258
6981,857
6713,1258
6713,857
6658,1258
6658,857
6985,1258
6985,857
6404,1258
6404,857
6714,1258
6714,857
6980,1258
6980,857
6595,1258
6595,857
6659,1258
6659,857
6715,1258
6715,857
6660,1258
6660,857
6979,1258
6979,857
6716,1258
6716,857
6661,1258
6661,857
6978,1258
6978,857
6596,1258
6596,857
6717,1258
6717,857
6662,1258
6662,857
6718,1258
6718,857
6977,1258
6977,857
6663,1258
6663,857
6399,1258
6399,857
6719,1258
6719,857
6976,1258
6976,857
6720,1258
6720,857
6664,1258
6664,857
6665,1258
6665,857
6975,1258
6975,857
6597,1258
6597,857
6721,1258
6721,857
6666,1258
6666,857
6722,1258
6722,857
6974,1258
6974,857
6667,1258
6667,857
6723,1258
6723,857
6973,1258
6973,857
6598,1258
6598,857
6668,1258
6668,857
6724,1258
6724,857
6972,1258
6972,857
6669,1258
6669,857
6725,1258
6725,857
6670,1258
6670,857
6726,1258
6726,857
6971,1258
6971,857
7040,1258
7040,857
6671,1258
6671,857
6727,1258
6727,857
6970,1258
6970,857
6676,1258
6676,857
6732,1258
6732,857
