uid,location,start_time,end_time,uid,uid
9351,,6/1/22 17:57,6/1/22 0:18,927,8310
9352,,6/1/22 11:42,5/31/22 21:32,1219,8741
9353,,6/1/22 7:18,6/1/22 12:15,1148,8153
9354,,6/1/22 0:40,6/1/22 16:19,789,8660
9355,,5/31/22 22:08,6/1/22 0:06,805,8696
9356,,6/1/22 1:29,5/31/22 23:16,755,8567
9357,,6/1/22 6:06,6/1/22 17:11,713,8229
9358,,6/1/22 13:13,6/1/22 8:05,1234,8380
9359,,6/1/22 17:55,6/1/22 5:57,991,8819
9360,,6/1/22 11:34,6/1/22 9:03,753,8843
9361,,6/1/22 13:34,6/1/22 3:14,798,8707
9362,,6/1/22 3:11,5/31/22 23:52,1043,8632
9363,,5/31/22 21:08,6/1/22 6:47,1311,8866
9364,,5/31/22 21:14,5/31/22 21:31,1164,8443
9365,,5/31/22 23:33,6/1/22 19:12,689,8146
9366,,6/1/22 19:59,6/1/22 11:44,742,8072
9367,,6/1/22 3:03,6/1/22 16:53,1220,8985
9368,,6/1/22 17:44,6/1/22 3:09,946,8075
9369,,6/1/22 17:33,6/1/22 9:26,1232,8204
9370,,6/1/22 16:11,6/1/22 10:36,1148,8153
9371,,6/1/22 14:14,6/1/22 12:23,741,8739
9372,,6/1/22 7:36,5/31/22 22:46,927,8931
9373,,5/31/22 20:15,6/1/22 9:44,1149,8237
9374,,6/1/22 15:22,6/1/22 17:26,1104,8397
9375,,5/31/22 21:35,6/1/22 9:56,1191,8418
9376,,6/1/22 15:56,6/1/22 19:57,1207,8494
9377,,6/1/22 15:09,6/1/22 15:54,799,8804
9378,,6/1/22 11:33,6/1/22 5:23,1337,8679
9379,,6/1/22 8:30,6/1/22 18:09,705,8512
9380,,6/1/22 16:13,6/1/22 17:16,1096,8455
9381,,6/1/22 3:03,6/1/22 7:24,899,8911
9382,,6/1/22 14:28,5/31/22 22:38,1057,8832
9383,,6/1/22 17:43,6/1/22 2:50,1260,8160
9384,,6/1/22 8:37,6/1/22 15:40,1344,8948
9385,,6/1/22 1:21,6/1/22 11:39,1251,8994
9386,,6/1/22 5:58,6/1/22 1:02,1064,8581
9387,,6/1/22 15:56,6/1/22 17:01,712,8382
9388,,6/1/22 10:14,6/1/22 6:46,693,8192
9389,,6/1/22 14:09,6/1/22 15:23,1060,8410
9390,,6/1/22 0:33,6/1/22 11:40,695,8466
9391,,6/1/22 9:39,6/1/22 13:26,1307,8529
9392,,6/1/22 14:59,6/1/22 12:05,870,8814
9393,,6/1/22 4:01,6/1/22 15:54,980,8218
9394,,6/1/22 6:32,6/1/22 16:15,863,8959
9395,,6/1/22 17:33,6/1/22 16:38,1080,8187
9396,,6/1/22 0:02,5/31/22 21:54,743,8314
9397,,6/1/22 5:17,6/1/22 11:21,1160,8120
9398,,6/1/22 14:37,5/31/22 22:12,1145,8944
9399,,6/1/22 1:23,6/1/22 14:11,1062,8366
9400,,6/1/22 15:19,6/1/22 1:43,812,8751
9401,,5/31/22 22:54,6/1/22 3:00,869,8230
9402,,5/31/22 21:29,6/1/22 11:42,1277,8462
9403,,6/1/22 8:00,5/31/22 21:37,679,8917
9404,,6/1/22 13:24,6/1/22 3:57,928,8848
9405,,6/1/22 4:04,6/1/22 4:56,813,8432
9406,,6/1/22 17:42,6/1/22 0:01,913,8837
9407,,6/1/22 10:48,6/1/22 9:37,799,8804
9408,,6/1/22 11:19,5/31/22 21:40,741,8304
9409,,6/1/22 11:45,6/1/22 13:38,893,8992
9410,,6/1/22 11:03,5/31/22 22:24,1046,8645
9411,,6/1/22 7:02,6/1/22 12:40,1291,8868
9412,,6/1/22 9:00,5/31/22 22:42,687,8710
9413,,6/1/22 12:06,6/1/22 5:24,1012,8765
9414,,5/31/22 22:13,6/1/22 13:31,1107,8261
9415,,6/1/22 14:42,5/31/22 21:29,1192,8074
9416,,6/1/22 9:37,6/1/22 8:23,852,8587
9417,,6/1/22 19:56,5/31/22 23:14,1248,8300
9418,,6/1/22 11:39,6/1/22 17:35,947,8041
9419,,6/1/22 9:07,6/1/22 16:30,949,8415
9420,,6/1/22 3:33,6/1/22 6:55,683,8919
9421,,6/1/22 3:01,6/1/22 9:25,1145,8944
9422,,6/1/22 15:51,6/1/22 5:19,856,8704
9423,,6/1/22 12:33,6/1/22 8:04,1312,8740
9424,,6/1/22 14:49,5/31/22 23:52,1010,8962
9425,,5/31/22 20:31,6/1/22 1:30,1315,8897
9426,,6/1/22 6:05,5/31/22 22:48,803,8949
9427,,6/1/22 18:51,6/1/22 2:01,1155,8450
9428,,5/31/22 21:44,5/31/22 21:33,870,8149
9429,,6/1/22 15:45,6/1/22 19:51,917,8548
9430,,6/1/22 9:55,6/1/22 17:07,1250,8071
9431,,6/1/22 4:25,6/1/22 9:13,1097,8545
9432,,6/1/22 10:04,6/1/22 13:18,1125,8093
9433,,6/1/22 9:26,6/1/22 4:57,1091,8247
9434,,6/1/22 9:42,5/31/22 23:51,1048,8602
9435,,6/1/22 3:17,6/1/22 9:03,1325,8132
9436,,6/1/22 19:54,6/1/22 15:59,1240,8759
9437,,6/1/22 17:24,6/1/22 0:11,905,8137
9438,,5/31/22 23:40,5/31/22 23:45,954,8794
9439,,6/1/22 5:48,6/1/22 3:36,1078,8546
9440,,6/1/22 8:01,5/31/22 22:30,743,8314
9441,,5/31/22 22:10,6/1/22 12:00,1008,8976
9442,,6/1/22 7:10,6/1/22 11:48,875,8279
9443,,5/31/22 20:49,5/31/22 23:09,796,8423
9444,,6/1/22 10:02,6/1/22 14:56,961,8414
9445,,6/1/22 0:40,5/31/22 22:27,1293,8341
9446,,5/31/22 20:52,6/1/22 9:24,855,8245
9447,,6/1/22 9:26,6/1/22 6:57,1009,8038
9448,,6/1/22 15:14,6/1/22 5:47,1049,8955
9449,,6/1/22 8:01,6/1/22 8:36,935,8680
9450,,5/31/22 22:21,6/1/22 7:27,1305,8371
9451,,5/31/22 21:39,5/31/22 20:14,1069,8730
9452,,6/1/22 3:26,6/1/22 19:37,1096,8455
9453,,5/31/22 23:29,6/1/22 6:15,904,8478
9454,,6/1/22 9:41,6/1/22 1:07,866,8604
9455,,6/1/22 3:46,6/1/22 7:35,1093,8208
9456,,6/1/22 6:17,6/1/22 3:47,991,8819
9457,,6/1/22 15:14,6/1/22 6:31,1051,8902
9458,,6/1/22 4:17,6/1/22 18:52,1236,8672
9459,,6/1/22 17:32,5/31/22 21:10,935,8680
9460,,6/1/22 9:58,6/1/22 1:08,685,8083
9461,,6/1/22 11:45,6/1/22 2:37,951,8056
9462,,6/1/22 3:55,5/31/22 21:05,716,8722
9463,,6/1/22 13:18,6/1/22 2:44,1079,8997
9464,,6/1/22 0:36,5/31/22 21:35,703,8774
9465,,6/1/22 10:59,6/1/22 19:06,1196,8296
9466,,6/1/22 10:16,6/1/22 4:14,1222,8306
9467,,5/31/22 22:40,6/1/22 3:03,828,8169
9468,,6/1/22 6:13,6/1/22 9:56,980,8586
9469,,6/1/22 12:40,6/1/22 5:11,714,8775
9470,,6/1/22 15:49,6/1/22 5:19,947,8041
9471,,6/1/22 20:04,6/1/22 12:23,1344,8948
9472,,6/1/22 2:33,5/31/22 23:37,1074,8182
9473,,6/1/22 10:37,6/1/22 19:34,716,8224
9474,,6/1/22 13:12,6/1/22 0:20,917,8980
9475,,6/1/22 3:14,5/31/22 22:38,1153,8706
9476,,6/1/22 8:08,6/1/22 19:15,780,8635
9477,,6/1/22 18:50,6/1/22 15:12,1320,8344
9478,,6/1/22 14:36,6/1/22 15:57,1257,8842
9479,,6/1/22 18:08,6/1/22 11:13,1303,8929
9480,,6/1/22 2:28,6/1/22 11:56,1047,9023
9481,,6/1/22 2:53,6/1/22 5:52,1230,8923
