uid,language,in_production,description,uid
8026,Python,f,project0,1068
8027,Java,f,project1,739
8028,Python,t,project2,718
8029,Rust,t,project3,1136
8030,Go,f,project4,1043
8031,Java,f,project5,1342
8032,Rust,t,project6,779
8033,Go,f,project7,1066
8034,Java,t,project8,749
8035,Java,t,project9,795
8036,Python,f,project10,711
8037,Python,f,project11,783
8038,Rust,t,project12,1009
8039,Go,t,project13,867
8040,Rust,t,project14,897
8041,Go,t,project15,947
8042,Go,f,project16,1213
8043,Python,f,project17,1179
8044,Go,f,project18,1054
8045,Go,f,project19,1030
8046,Python,f,project20,1159
8047,Go,f,project21,884
8048,Go,t,project22,1005
8049,Go,t,project23,735
8050,Go,f,project24,829
8051,Python,t,project25,787
8052,Python,f,project26,1200
8053,Go,t,project27,936
8054,Java,f,project28,962
8055,Python,t,project29,753
8056,Java,f,project30,951
8057,Rust,t,project31,1304
8058,Go,f,project32,930
8059,Rust,t,project33,872
8060,Rust,f,project34,967
8061,Rust,t,project35,1130
8062,Rust,t,project36,837
8063,Python,f,project37,735
8064,Rust,f,project38,1065
8065,Python,f,project39,1053
8066,Python,f,project40,1283
8067,Go,t,project41,1268
8068,Java,f,project42,873
8069,Java,t,project43,1074
8070,Rust,t,project44,1262
8071,Rust,f,project45,1250
8072,Java,f,project46,742
8073,Go,t,project47,680
8074,Rust,t,project48,1192
8075,Go,f,project49,946
8076,Java,t,project50,1054
8077,Rust,f,project51,1310
8078,Go,t,project52,1118
8079,Java,t,project53,840
8080,Java,t,project54,1097
8081,Rust,t,project55,1078
8082,Java,f,project56,771
8083,Python,f,project57,685
8084,Go,t,project58,1339
8085,Java,f,project59,740
8086,Go,f,project60,1308
8087,Java,f,project61,944
8088,Python,f,project62,876
8089,Rust,t,project63,861
8090,Python,f,project64,874
8091,Python,t,project65,1202
8092,Java,t,project66,1162
8093,Python,t,project67,1125
8094,Java,f,project68,1157
8095,Python,f,project69,866
8096,Go,f,project70,1241
8097,Java,f,project71,842
8098,Python,f,project72,1085
8099,Java,f,project73,1088
8100,Python,f,project74,896
8101,Java,t,project75,984
8102,Rust,t,project76,1229
8103,Java,t,project77,984
8104,Java,f,project78,948
8105,Java,t,project79,1053
8106,Java,t,project80,1000
8107,Go,t,project81,761
8108,Java,t,project82,1115
8109,Rust,f,project83,936
8110,Java,t,project84,1136
8111,Java,t,project85,960
8112,Java,t,project86,1228
8113,Java,f,project87,1138
8114,Rust,f,project88,744
8115,Rust,t,project89,749
8116,Python,f,project90,1303
8117,Java,f,project91,1262
8118,Rust,t,project92,908
8119,Java,t,project93,1308
8120,Go,f,project94,1160
8121,Python,f,project95,1168
8122,Python,t,project96,1141
8123,Rust,f,project97,983
8124,Python,f,project98,804
8125,Python,t,project99,1017
8126,Rust,t,project100,797
8127,Python,t,project101,1097
8128,Python,f,project102,942
8129,Go,t,project103,1037
8130,Go,t,project104,886
8131,Rust,t,project105,1168
8132,Go,t,project106,1325
8133,Python,t,project107,754
8134,Go,f,project108,715
8135,Rust,f,project109,1267
8136,Java,f,project110,1102
8137,Rust,f,project111,905
8138,Rust,t,project112,893
8139,Java,f,project113,1168
8140,Go,f,project114,1341
8141,Python,t,project115,912
8142,Python,t,project116,1285
8143,Java,t,project117,1133
8144,Python,f,project118,697
8145,Rust,f,project119,1247
8146,Rust,t,project120,689
8147,Java,t,project121,711
8148,Rust,f,project122,1126
8149,Java,t,project123,870
8150,Java,f,project124,1206
8151,Rust,f,project125,885
8152,Java,f,project126,916
8153,Java,f,project127,1148
8154,Java,f,project128,1153
8155,Rust,f,project129,890
8156,Go,f,project130,869
8157,Java,t,project131,932
8158,Rust,t,project132,1016
8159,Go,t,project133,962
8160,Rust,f,project134,1260
8161,Rust,t,project135,1196
8162,Rust,f,project136,686
8163,Python,f,project137,1157
8164,Go,t,project138,1338
8165,Go,f,project139,1195
8166,Go,t,project140,1133
8167,Go,t,project141,1266
8168,Rust,t,project142,857
8169,Go,t,project143,828
8170,Java,t,project144,830
8171,Rust,t,project145,847
8172,Rust,f,project146,1041
8173,Java,t,project147,1012
8174,Java,f,project148,904
8175,Java,f,project149,853
8176,Rust,f,project150,1045
8177,Go,t,project151,1322
8178,Rust,f,project152,1068
8179,Python,f,project153,730
8180,Rust,t,project154,1168
8181,Python,f,project155,781
8182,Python,f,project156,1074
