uid,uid
8026,1420
8026,1901
8026,2205
8026,3173
8026,2318
8026,2019
8027,2459
8028,3291
8029,2372
8030,3349
8030,2346
8031,2085
8034,2191
8034,2162
8035,2877
8038,2046
8038,2138
8038,1817
8041,2896
8042,2600
8043,2612
8043,1477
8043,2182
8043,2992
8043,2241
8044,3201
8045,3140
8048,1368
8048,3278
8051,3295
8051,1936
8051,2369
8051,2007
8055,2017
8055,2345
8056,2321
8058,2581
8058,2894
8058,3231
8059,2008
8059,2691
8059,2078
8059,1718
8059,2297
8060,2922
8061,1674
8061,2966
8061,2955
8062,3264
8062,2303
8064,3102
8065,1989
8065,3021
8067,2376
8067,2851
8067,2910
8067,3016
8068,3028
8069,3275
8069,3085
8069,2126
8069,3176
8069,1823
8073,2455
8074,2883
8075,2716
8075,2574
8079,2292
8080,2698
8080,2480
8081,1894
8081,2296
8083,1820
8083,2364
8083,2998
8083,2546
8083,3059
8084,2230
8085,3142
8085,2931
8086,2629
8086,3007
8087,1441
8087,2689
8087,2638
8089,2764
8089,1491
8090,3179
8090,2567
8092,2584
8093,2452
8095,1386
8095,2467
8095,1950
8095,3344
8096,2363
8096,1884
8097,2818
8097,3232
8097,1769
8097,1402
8098,2024
8099,1970
8100,1707
8100,1850
8101,2548
8102,1929
8102,1721
8102,2870
8104,2735
8105,3127
8106,3049
8106,2664
8107,2196
8107,2709
8107,1915
8107,1845
8107,2950
8108,2370
8111,1734
8112,2466
8113,1601
8113,1861
8113,3265
8113,2011
8113,1427
8114,2101
8114,2686
8115,2162
8115,2191
8116,2446
8116,3057
8116,2513
8117,2943
8118,3107
8119,3007
8121,2111
8122,1426
8122,2123
8123,1542
8124,2309
8125,1796
8125,2419
8125,1389
8126,1665
8129,2200
8129,1393
8131,2111
8131,1980
8134,1890
8135,3074
8135,1891
8136,2077
8136,1605
8140,2071
8141,2916
8141,2678
8141,3104
8141,3296
8142,3077
8142,2858
8145,2670
8146,2478
8147,3036
8148,2112
8149,2751
8150,3255
8151,2599
8151,2628
8152,1367
8154,1754
8155,2400
8156,3141
8156,2243
8156,2500
8156,2720
8157,2605
8157,2936
8158,2415
8158,1921
8159,2737
8160,2525
8161,2392
8161,2805
8161,2734
8162,1838
8162,2519
8163,3342
8164,3155
8167,1406
8167,1600
8167,3081
8168,2906
8172,3015
8172,1926
8173,1756
8174,1717
8174,2451
8176,2919
8177,1872
8178,2205
8178,1420
8178,3173
8178,2019
8178,1901
8178,2318
8179,2723
8182,3176
8182,3085
8182,1823
8182,2126
8183,1738
8183,2652
8184,2607
8185,2056
8185,2355
8185,2844
8186,2657
8186,1999
8188,1419
8188,1688
8190,1958
8190,1801
8191,2574
8192,1432
8192,1497
8192,1837
8193,1800
8195,3050
8195,2484
8197,1842
8198,3188
8198,2333
8198,2072
8200,2707
8202,2224
8202,2314
8204,2324
8205,2365
8205,1727
8206,1701
8206,2547
8207,2968
8207,3321
8208,2631
8209,2371
8210,3342
8210,1990
8211,2913
8211,2834
8211,2039
8211,1564
8211,2422
8211,3020
8212,2842
8212,2771
8213,3129
8213,2876
8214,1645
8214,1703
8215,2523
8216,2628
8216,2599
8216,1383
8217,2342
8217,1739
8218,1932
8218,2978
8219,3041
8219,2898
8219,3125
8219,1996
8219,1763
8221,1994
8221,2215
8221,1503
8223,3055
8224,1670
8224,2340
8225,1643
8225,2300
8226,1644
8228,2036
8228,2052
8228,3115
8228,2216
8229,2939
8229,1395
8229,2117
8229,3317
8229,2041
8229,3075
8230,2243
8230,2500
8230,3141
8232,2400
8233,2535
8233,2519
8233,1838
8233,2064
8233,2235
8233,2479
8235,2155
8237,2140
8237,2577
8238,1497
8238,1837
8238,1432
8239,2503
8240,1365
8240,2673
8241,1385
8241,2262
8241,2999
8242,1906
8242,1487
8244,2736
8244,2948
8245,1660
8245,2588
8245,1839
8247,3080
8248,2208
8249,3342
8249,1990
8249,1770
8249,2491
8251,2260
8252,3336
8254,2960
8255,3205
8255,1854
8256,1591
8259,3015
8259,2211
8260,1424
8260,1661
8260,1483
8262,2223
8264,3064
8264,2233
8265,2594
8266,2994
8266,1872
8266,1704
8266,2385
8267,2365
8267,2541
8267,1727
8267,2129
8268,3179
8269,2799
8269,1889
8269,2610
8269,2712
8270,2429
8271,1911
8272,1464
8273,2640
8273,2634
8273,2261
8273,3198
8275,2409
8275,1932
8275,2313
8276,3008
8276,3321
8276,2790
8278,2033
8278,1534
8278,3337
8278,3260
8281,2184
8282,2818
8282,3232
8282,1769
8282,1402
8283,2520
8283,3099
8283,2390
8284,2222
8284,2107
8284,1549
8286,2063
8286,3319
8286,2901
8286,3117
8287,1355
8287,1876
8288,2860
8289,1735
8290,2070
8290,3076
8292,1871
8292,2735
8293,3306
8293,1614
8294,1652
8296,2734
8296,2805
8296,2617
8296,2392
8297,2672
8297,3112
8297,2401
8297,2104
8298,3061
8298,2589
8298,2115
8300,2982
8301,1979
8301,1842
8301,3244
8304,2447
8304,2054
8306,3024
8306,3284
8306,3259
8307,1863
8307,2359
8307,1590
8307,1833
8308,3094
8308,2564
8308,1835
8308,2526
8309,1971
8309,1589
8309,2552
8310,3227
8311,1461
8312,2974
8313,2984
8314,1560
8314,2875
8316,2202
8316,2016
8316,2035
8317,3101
8317,3280
8317,1463
8319,2541
8321,2077
8321,2632
8323,2781
8323,1668
8324,1619
8324,2837
8325,2671
8326,1849
8326,2009
8327,3176
8327,3275
8327,1823
8327,3085
8328,2701
8328,2591
8328,2813
8328,2512
8331,1478
8331,1413
8332,2005
8333,1869
8334,2319
8334,1828
8334,2778
8336,2650
8338,1792
8339,1569
8339,2613
8339,2707
8340,2231
8344,2169
8345,2225
8345,2741
8345,3136
8346,3262
8347,2895
8347,2666
8347,3068
8347,2250
8349,3170
8349,2083
8349,1902
8349,2307
8350,1359
8350,1815
8352,2021
8352,1999
8352,2657
8352,2975
8355,2961
8355,2911
8355,2957
8355,3078
8360,2620
8360,3070
8360,2788
8361,1922
8363,1772
8364,3108
8364,2031
8365,2682
8365,3155
8366,2373
8366,1760
8366,2852
8366,2713
8367,1703
8367,1645
8368,3277
8368,1650
8371,2496
8371,1821
8373,2906
8373,2509
8373,1973
8373,2676
8375,2361
8375,3142
8375,1945
8375,2931
8376,2299
8376,2134
8377,2547
8377,1701
8378,1791
8378,3031
8379,2450
8381,2694
8381,2481
8381,2000
8381,1396
8381,3000
8381,3249
8381,1930
8383,1503
8383,2215
8384,1926
8384,2211
8384,1825
8384,3015
8386,2377
8387,2730
8387,1836
8388,1968
8388,2252
8388,2671
8388,1931
8388,2431
8388,2763
8389,2175
8389,2194
8389,2941
8392,3035
8392,2468
8393,2597
8393,2283
8394,2715
8398,2879
8400,2483
8400,2767
8400,2506
8401,2350
8402,1927
8402,1438
8405,2867
8405,1883
8405,2988
8406,1729
8407,1739
8407,2342
8408,1885
8408,3060
8408,3113
8408,1608
8410,2158
8410,2534
8411,2553
8412,1824
8412,1523
8413,1604
8414,2837
8414,1619
8415,3055
8416,2895
8416,2250
8416,3068
8417,2098
8417,1818
8418,1895
8418,2871
8418,2266
8419,2917
8419,1753
8419,3183
8420,1876
8420,3135
8420,1355
8420,1363
8421,1613
8421,2774
8422,2447
8422,2054
8423,2333
8423,2072
8424,2420
8424,2845
8425,2007
8425,3295
8425,2369
8425,1936
8426,1607
8426,2368
8427,2640
8427,2634
8427,3198
8428,2044
8428,2892
8428,2637
8429,1999
8429,2975
8429,2029
8429,2657
8430,1635
8430,3126
8431,1743
8431,3033
8432,1954
8432,1639
8432,2498
8432,2248
8432,2003
8432,1856
8433,3165
8434,2529
8435,3199
8435,2659
8435,3227
8436,1925
8436,1584
8438,1364
8439,2236
8439,2137
8440,2936
8440,2605
8441,2347
8441,2106
8442,1990
8442,3342
8443,2644
8443,1583
8443,3261
8444,3101
8444,3280
8444,1463
8445,3201
8447,2758
8447,3230
8447,1799
8450,3162
8450,2623
8450,1611
8452,2554
8452,2801
8455,2878
8455,1789
8455,3051
8455,2740
8456,2725
8456,1575
8456,3127
8456,3021
8457,2674
8457,1546
8457,2074
8458,2650
8460,3291
8462,3120
8462,2013
8463,2621
8463,1595
8463,2749
8463,3341
8464,2042
8466,1633
8466,2391
8466,3204
8466,3138
8466,2062
8469,2764
8471,1738
8471,1750
8471,2652
8472,2870
8473,3092
8474,1865
8474,2952
8474,2868
8478,1717
8480,2097
8480,1905
8480,2042
8481,2399
8482,2759
8482,1834
8482,2309
8484,2490
8485,2132
8486,1935
8486,2371
8486,3100
8486,3003
8486,1616
8486,1593
8486,3185
8488,1370
8488,2193
8488,3027
8489,3301
8489,2335
8490,1424
8490,1661
8491,2322
8491,3052
8494,1443
8495,1693
8495,3017
8498,2628
8498,1383
8498,2599
8499,3305
8500,3233
8500,2311
8501,2233
8501,3064
8506,1911
8508,1407
8509,2226
8509,3077
8509,2858
8512,2150
8513,2941
8513,2194
8513,3316
8513,3111
8515,2495
8516,1437
8516,2277
8517,2399
8518,2246
8518,3122
8520,2674
8520,2456
8520,1572
8520,2074
8521,2106
8523,1952
8523,2750
8523,1638
8523,2633
8524,3273
8524,2023
8524,2393
8524,2482
8524,2164
8524,1962
8525,1875
8526,1762
8527,2954
8527,2646
8527,2101
8527,2686
8533,1956
8534,3012
8535,3268
8535,3197
8535,2765
8535,1761
8536,1779
8536,2119
8537,3229
8537,1857
8539,2453
8539,2251
8540,1690
8540,1712
8542,3084
8542,1400
8543,2928
8544,3065
8544,2374
8544,2527
8545,2698
8545,1803
8546,3089
8546,1894
8547,1854
8547,3205
8548,2547
8549,2955
8551,2306
8551,2964
8552,2662
8554,1377
8555,1758
8555,3252
8555,2717
8555,3325
8556,2357
8556,2525
8556,2435
8558,3324
8559,1618
8559,2866
8559,2831
8559,2232
8560,1679
8562,2290
8563,1779
8563,2095
8563,2119
8565,3344
8568,3252
8568,3325
8570,2651
8570,3343
8570,2503
8571,1542
8572,1519
8572,2601
8572,3346
8572,1744
8572,1394
8574,3220
8575,1979
8575,1842
8576,3313
8578,2199
8578,1893
8581,2942
8581,2946
8581,2747
8584,2602
8584,3098
8584,2840
8584,2874
8585,1817
8585,2138
8585,2046
8586,1932
8587,2167
8588,2878
8588,1789
8588,2740
8590,1379
8593,1992
8593,3045
8593,1734
8595,2275
8597,3251
8598,1812
8598,2432
8600,2193
8600,1370
8601,3089
8602,2055
8602,2448
8602,2609
8602,2457
8603,1856
8604,3344
8604,1950
8604,2093
8604,2331
8605,2378
8605,1536
8605,3300
8605,1944
8605,2204
8605,3217
8606,3144
8607,1916
8608,2983
8608,2531
8608,1449
8611,2604
8612,2568
8612,1737
8612,1686
8613,1699
8614,3153
8614,2554
8614,2801
8618,3105
8618,1452
8620,2249
8621,3067
8621,1669
8623,2673
8623,2411
8623,1365
8624,2835
8625,3280
8625,3101
8625,1463
8628,1854
8628,3205
8629,1450
8629,1873
8629,2594
8629,2061
8630,1946
8630,1966
8630,2214
8632,1624
8632,3349
8632,2389
8633,2166
8633,1840
8633,1522
8634,1700
8634,2808
8634,2253
8634,3165
8634,1741
8635,1513
8635,1684
8635,2208
8635,3270
8636,2995
8636,1879
8636,2096
8637,1829
8638,3199
8638,2659
8639,3017
8639,1693
8642,2744
8645,2928
8648,1452
8648,2186
8648,1900
8648,3105
8650,1797
8650,3007
8651,2268
8652,2581
8652,2894
8653,2535
8653,2235
8653,1838
8653,2064
8653,2519
8654,1694
8654,3332
8657,2662
8659,2921
8659,2573
8661,2085
8662,2608
8662,1659
8662,3102
8663,3315
8663,2685
8664,1875
8665,2034
8666,2689
8667,1589
8667,1971
8668,1373
8668,1500
8668,3116
8668,2112
8670,1928
8671,1370
8671,2193
8672,1547
8672,2576
8675,3323
8675,2850
8676,1772
8677,2664
8678,1588
8678,3327
8678,1401
8678,3182
8678,1808
8679,2642
8680,1786
8682,1548
8682,2492
8683,1777
8685,2955
8685,1674
8686,2291
8688,3065
8688,2527
8689,1754
8690,2278
8690,3074
8690,1891
8691,2535
8691,2519
8691,1838
8691,2064
8691,2235
8694,2920
8694,1360
8694,2051
8694,3307
8695,2099
8695,2436
8696,2945
8696,2863
8697,1939
8697,2408
8697,2188
8697,2902
8698,2253
8698,1700
8698,2808
8698,1741
8699,2612
8699,2992
8699,1477
8699,2241
8699,2182
8701,2085
8703,1702
8704,2187
8704,2775
8704,2037
8704,2843
8705,1357
8705,2660
8708,3031
8708,1791
8710,1695
8711,1647
8711,2839
8711,2724
8713,2134
8713,2299
8714,2199
8715,1451
8715,2559
8716,2205
8717,2803
8718,2085
8719,1633
8719,3138
8721,3191
8721,3278
8721,2985
8721,1810
8721,1368
8722,2228
8722,3037
8722,1412
8722,1471
8722,2340
8722,1467
8723,2568
8723,1686
8723,1737
8724,1538
8724,2002
8724,1866
8726,1688
8730,3156
8731,3213
8731,3024
8731,2334
8733,3098
8733,2840
8737,2130
8738,3272
8739,2447
8739,2054
8740,3129
8740,2876
8741,1576
8741,3180
8741,1570
8741,2558
8741,1501
8741,2283
8741,3292
8742,2338
8743,2220
8743,2754
8744,2967
8744,2964
8744,2329
8744,2306
8747,1881
8747,1567
8748,1835
8748,2564
8748,3094
8750,1402
8750,2818
8751,1998
8751,2518
8752,2527
8753,1406
8753,3081
8753,1600
8755,1606
8757,2505
8757,2502
8757,3137
8758,1548
8761,3159
8762,1944
8762,2204
8762,2444
8762,1536
8762,2378
8763,2560
8764,2645
8765,1756
8766,3285
8766,3131
8766,3203
8767,2466
8767,2153
8767,2394
8769,3318
8770,2403
8770,3240
8771,1628
8771,1919
8772,1770
8772,2491
8772,3342
8773,3236
8773,2829
8774,2316
8775,2166
8775,1840
8775,1972
8777,1471
8777,1670
8777,3037
8777,1467
8777,2340
8778,2070
8778,3076
8779,2281
8780,2366
8780,1527
8781,3105
8781,2186
8781,1900
8782,2269
8783,3089
8783,2296
8783,1894
8784,2600
8786,1783
8786,2927
8787,2906
8788,1571
8788,1832
8790,3065
8791,2347
8791,2106
8796,2057
8797,1472
8797,2919
8798,3327
8799,2235
8799,2064
8799,2535
8800,2682
8800,3155
8801,2216
8801,3115
8801,2079
8801,1470
8801,2052
8802,2349
8803,1758
8803,2717
8803,3252
8804,2715
8804,1492
8804,3144
8805,2447
8807,1479
8808,3018
8808,1728
8808,2238
8811,3069
8811,2796
8811,1507
8811,1974
8811,2539
8813,1420
8813,3173
8817,1502
8817,2986
8818,2225
8818,2741
8819,3293
8819,2971
8819,1641
8819,1673
8820,3030
8821,2161
8825,2609
8825,2055
8825,2457
8825,2448
8827,1783
8829,2863
8829,2945
8830,1539
8831,1378
8831,2132
8834,3324
8837,2578
8839,2263
8841,2726
8841,2335
8843,3004
8847,3202
8847,1640
8848,2172
8848,2829
8848,3236
8849,2822
8850,2102
8850,1414
8853,1422
8853,2293
8853,2695
8854,2024
8854,2330
8856,1438
8857,2369
8857,1936
8857,2007
8858,3163
8858,2703
8858,2094
8858,1757
8860,3241
8860,1919
8860,2058
8860,1628
8862,1940
8862,2465
8865,1992
8865,3045
8866,2861
8866,2654
8869,2917
8870,3138
8870,1633
8871,1600
8871,1406
8872,3261
8873,1932
8873,2978
8876,1435
8876,1469
8880,3066
8880,2383
8880,2909
8880,2937
8880,1439
8881,1450
8881,2061
8881,1873
8881,2594
8884,1459
8885,3270
8885,1513
8885,2208
8887,3176
8887,1823
8888,2181
8888,2047
8888,1781
8888,3304
8889,3122
8889,2246
8891,1409
8891,3087
8891,3267
8892,2256
8892,1716
8893,2862
8893,2665
8894,1916
8894,3218
8895,1850
8895,1707
8897,2058
8900,2572
8900,2488
8901,2709
8901,2196
8903,3342
8903,1990
8903,1770
8904,2373
8906,1894
8907,2460
8907,1653
8908,2781
8908,1668
8909,2625
8910,1744
8910,1394
8910,1519
8911,2819
8911,1430
8911,2649
8911,2900
8912,2804
8912,1711
8913,1909
8913,2362
8913,3063
8913,1525
8914,3011
8914,2136
8915,2572
8916,1769
8916,2818
8916,1402
8916,3232
8918,1812
8918,2432
8919,1523
8920,2645
8923,2444
8923,1536
8923,2204
8923,3217
8926,2665
8926,2862
8928,3147
8928,2562
8929,2513
8930,2663
8930,2625
8930,2822
8930,3046
8931,2659
8931,3227
8932,3318
8932,2907
8932,1667
8932,2915
8932,2397
8934,3223
8938,2863
8938,2945
8939,1610
8939,3286
8941,3297
8941,3151
8941,3219
8942,2782
8942,2877
8943,2002
8946,1600
8946,3081
8947,2629
8947,1797
8949,1963
8949,3190
8949,3158
8950,1530
8950,2924
8950,2442
8951,3256
8953,1921
8955,1645
8957,2037
8958,2810
8958,1457
8958,1987
8960,1886
8962,1485
8963,2504
8963,2005
8963,1984
8964,2333
8965,2757
8965,2442
8965,1530
8965,2924
8966,1651
8966,1977
8967,1656
8968,3236
8968,2172
8969,2876
8969,2908
8969,3129
8970,2547
8970,1701
8971,2923
8972,1547
8973,1955
8973,2729
8974,2634
8974,2261
8975,3335
8977,2330
8977,2024
8979,3345
8981,1693
8982,3336
8983,2413
8986,2868
8988,3099
8988,2390
8989,1707
8990,2977
8990,2395
8990,1681
8990,2382
8992,2719
8993,1441
8993,2689
8993,2434
8994,2879
8996,1383
8996,2628
8997,3067
8997,2135
8997,3168
8998,3219
9000,1690
9000,1712
9001,1997
9002,1437
9002,3302
9003,2693
9005,3312
9005,3195
9006,3001
9006,1634
9007,2808
9007,3165
9007,1700
9007,2253
9007,2766
9007,1741
9008,2052
9008,2036
9009,2014
9009,2133
9011,2840
9011,2874
9011,2602
9012,1614
9013,3042
9014,1891
9014,3074
9014,2278
9015,2450
9016,3122
9016,2246
9017,3083
9017,2932
9018,2492
9019,2710
9020,3115
9020,2079
9021,2716
9021,2574
9022,1632
9022,3306
9022,1614
9024,2410
9024,1375
