uid,first_name,last_name,age,dgraph.type
3351,fs0,ls0,32,User
3352,fs1,ls1,82,User
3353,fs2,ls2,39,User
3354,fs3,ls3,11,User
3355,fs4,ls4,79,User
3356,fs5,ls5,69,User
3357,fs6,ls6,61,User
3358,fs7,ls7,43,User
3359,fs8,ls8,78,User
3360,fs9,ls9,38,User
3361,fs10,ls10,48,User
3362,fs11,ls11,78,User
3363,fs12,ls12,60,User
3364,fs13,ls13,25,User
3365,fs14,ls14,85,User
3366,fs15,ls15,32,User
3367,fs16,ls16,94,User
3368,fs17,ls17,70,User
3369,fs18,ls18,79,User
3370,fs19,ls19,10,User
3371,fs20,ls20,78,User
3372,fs21,ls21,57,User
3373,fs22,ls22,49,User
3374,fs23,ls23,61,User
3375,fs24,ls24,19,User
3376,fs25,ls25,71,User
3377,fs26,ls26,70,User
3378,fs27,ls27,54,User
3379,fs28,ls28,17,User
3380,fs29,ls29,6,User
3381,fs30,ls30,77,User
3382,fs31,ls31,35,User
3383,fs32,ls32,61,User
3384,fs33,ls33,5,User
3385,fs34,ls34,51,User
3386,fs35,ls35,88,User
3387,fs36,ls36,43,User
3388,fs37,ls37,55,User
3389,fs38,ls38,73,User
3390,fs39,ls39,29,User
3391,fs40,ls40,79,User
3392,fs41,ls41,45,User
3393,fs42,ls42,75,User
3394,fs43,ls43,27,User
3395,fs44,ls44,36,User
3396,fs45,ls45,7,User
3397,fs46,ls46,23,User
3398,fs47,ls47,50,User
3399,fs48,ls48,58,User
3400,fs49,ls49,50,User
3401,fs50,ls50,43,User
3402,fs51,ls51,76,User
3403,fs52,ls52,91,User
3404,fs53,ls53,12,User
3405,fs54,ls54,66,User
3406,fs55,ls55,38,User
3407,fs56,ls56,94,User
3408,fs57,ls57,42,User
3409,fs58,ls58,55,User
3410,fs59,ls59,28,User
3411,fs60,ls60,82,User
3412,fs61,ls61,73,User
3413,fs62,ls62,91,User
3414,fs63,ls63,48,User
3415,fs64,ls64,71,User
3416,fs65,ls65,14,User
3417,fs66,ls66,22,User
3418,fs67,ls67,86,User
3419,fs68,ls68,57,User
3420,fs69,ls69,15,User
3421,fs70,ls70,98,User
3422,fs71,ls71,36,User
3423,fs72,ls72,14,User
3424,fs73,ls73,99,User
3425,fs74,ls74,29,User
3426,fs75,ls75,84,User
3427,fs76,ls76,91,User
3428,fs77,ls77,56,User
3429,fs78,ls78,67,User
3430,fs79,ls79,52,User
3431,fs80,ls80,82,User
3432,fs81,ls81,97,User
3433,fs82,ls82,69,User
3434,fs83,ls83,25,User
3435,fs84,ls84,53,User
3436,fs85,ls85,53,User
3437,fs86,ls86,8,User
3438,fs87,ls87,54,User
3439,fs88,ls88,92,User
3440,fs89,ls89,11,User
3441,fs90,ls90,47,User
3442,fs91,ls91,44,User
3443,fs92,ls92,13,User
3444,fs93,ls93,98,User
3445,fs94,ls94,20,User
3446,fs95,ls95,73,User
3447,fs96,ls96,48,User
3448,fs97,ls97,74,User
3449,fs98,ls98,38,User
3450,fs99,ls99,27,User
3451,fs100,ls100,92,User
3452,fs101,ls101,68,User
3453,fs102,ls102,34,User
3454,fs103,ls103,8,User
3455,fs104,ls104,58,User
3456,fs105,ls105,85,User
3457,fs106,ls106,56,User
3458,fs107,ls107,35,User
3459,fs108,ls108,18,User
3460,fs109,ls109,7,User
3461,fs110,ls110,17,User
3462,fs111,ls111,68,User
3463,fs112,ls112,78,User
3464,fs113,ls113,47,User
3465,fs114,ls114,94,User
3466,fs115,ls115,52,User
3467,fs116,ls116,41,User
3468,fs117,ls117,80,User
3469,fs118,ls118,71,User
3470,fs119,ls119,87,User
3471,fs120,ls120,10,User
3472,fs121,ls121,23,User
3473,fs122,ls122,19,User
3474,fs123,ls123,41,User
3475,fs124,ls124,38,User
3476,fs125,ls125,97,User
3477,fs126,ls126,55,User
3478,fs127,ls127,11,User
3479,fs128,ls128,8,User
3480,fs129,ls129,99,User
3481,fs130,ls130,70,User
3482,fs131,ls131,57,User
3483,fs132,ls132,73,User
3484,fs133,ls133,67,User
3485,fs134,ls134,88,User
3486,fs135,ls135,70,User
3487,fs136,ls136,20,User
3488,fs137,ls137,30,User
3489,fs138,ls138,14,User
3490,fs139,ls139,89,User
3491,fs140,ls140,38,User
3492,fs141,ls141,38,User
3493,fs142,ls142,87,User
3494,fs143,ls143,42,User
3495,fs144,ls144,32,User
3496,fs145,ls145,22,User
3497,fs146,ls146,59,User
3498,fs147,ls147,30,User
3499,fs148,ls148,79,User
3500,fs149,ls149,13,User
3501,fs150,ls150,69,User
3502,fs151,ls151,43,User
3503,fs152,ls152,59,User
3504,fs153,ls153,84,User
3505,fs154,ls154,18,User
3506,fs155,ls155,34,User
3507,fs156,ls156,97,User
3508,fs157,ls157,77,User
3509,fs158,ls158,81,User
3510,fs159,ls159,90,User
3511,fs160,ls160,28,User
3512,fs161,ls161,71,User
3513,fs162,ls162,46,User
3514,fs163,ls163,38,User
3515,fs164,ls164,91,User
3516,fs165,ls165,52,User
3517,fs166,ls166,21,User
3518,fs167,ls167,59,User
3519,fs168,ls168,5,User
3520,fs169,ls169,51,User
3521,fs170,ls170,34,User
3522,fs171,ls171,85,User
3523,fs172,ls172,19,User
3524,fs173,ls173,42,User
3525,fs174,ls174,71,User
3526,fs175,ls175,92,User
3527,fs176,ls176,15,User
3528,fs177,ls177,31,User
3529,fs178,ls178,63,User
3530,fs179,ls179,52,User
3531,fs180,ls180,68,User
3532,fs181,ls181,59,User
3533,fs182,ls182,72,User
3534,fs183,ls183,43,User
3535,fs184,ls184,34,User
3536,fs185,ls185,95,User
3537,fs186,ls186,35,User
3538,fs187,ls187,83,User
3539,fs188,ls188,34,User
3540,fs189,ls189,89,User
3541,fs190,ls190,71,User
3542,fs191,ls191,11,User
3543,fs192,ls192,81,User
3544,fs193,ls193,31,User
3545,fs194,ls194,82,User
3546,fs195,ls195,87,User
3547,fs196,ls196,73,User
3548,fs197,ls197,31,User
3549,fs198,ls198,91,User
3550,fs199,ls199,94,User
3551,fs200,ls200,57,User
3552,fs201,ls201,60,User
3553,fs202,ls202,9,User
3554,fs203,ls203,98,User
3555,fs204,ls204,99,User
3556,fs205,ls205,56,User
3557,fs206,ls206,56,User
3558,fs207,ls207,17,User
3559,fs208,ls208,45,User
3560,fs209,ls209,95,User
3561,fs210,ls210,60,User
3562,fs211,ls211,57,User
3563,fs212,ls212,83,User
3564,fs213,ls213,98,User
3565,fs214,ls214,49,User
3566,fs215,ls215,65,User
3567,fs216,ls216,70,User
3568,fs217,ls217,71,User
3569,fs218,ls218,40,User
3570,fs219,ls219,14,User
3571,fs220,ls220,57,User
3572,fs221,ls221,18,User
3573,fs222,ls222,53,User
3574,fs223,ls223,55,User
3575,fs224,ls224,61,User
3576,fs225,ls225,68,User
3577,fs226,ls226,75,User
3578,fs227,ls227,24,User
3579,fs228,ls228,79,User
3580,fs229,ls229,17,User
3581,fs230,ls230,89,User
3582,fs231,ls231,61,User
3583,fs232,ls232,8,User
3584,fs233,ls233,43,User
3585,fs234,ls234,91,User
3586,fs235,ls235,15,User
3587,fs236,ls236,11,User
3588,fs237,ls237,78,User
3589,fs238,ls238,7,User
3590,fs239,ls239,84,User
3591,fs240,ls240,81,User
3592,fs241,ls241,5,User
3593,fs242,ls242,80,User
3594,fs243,ls243,6,User
3595,fs244,ls244,85,User
3596,fs245,ls245,60,User
3597,fs246,ls246,19,User
3598,fs247,ls247,76,User
3599,fs248,ls248,40,User
3600,fs249,ls249,88,User
3601,fs250,ls250,82,User
3602,fs251,ls251,10,User
3603,fs252,ls252,14,User
3604,fs253,ls253,65,User
3605,fs254,ls254,49,User
3606,fs255,ls255,34,User
3607,fs256,ls256,65,User
3608,fs257,ls257,26,User
3609,fs258,ls258,94,User
3610,fs259,ls259,22,User
3611,fs260,ls260,9,User
3612,fs261,ls261,93,User
3613,fs262,ls262,84,User
3614,fs263,ls263,99,User
3615,fs264,ls264,37,User
3616,fs265,ls265,22,User
3617,fs266,ls266,96,User
3618,fs267,ls267,48,User
3619,fs268,ls268,97,User
3620,fs269,ls269,77,User
3621,fs270,ls270,10,User
3622,fs271,ls271,8,User
3623,fs272,ls272,65,User
3624,fs273,ls273,85,User
3625,fs274,ls274,55,User
3626,fs275,ls275,90,User
3627,fs276,ls276,21,User
3628,fs277,ls277,78,User
3629,fs278,ls278,34,User
3630,fs279,ls279,65,User
